id,listing_url,name,space,picture_url,neighbourhood,latitude,longitude,price,weekly_price,monthly_price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
5172,https://www.airbnb.com/rooms/5172,Quiet Slice of Manhattan,"The bedroom is roomy at 10'x12' and has a queen-sized, memory foam bed. Awesome hotel-grade pillows and high thread count sheets.  The living/dining space is very small. Full kitchen with new appliances. Fully stocked with pots, dishes and flatware. Furnished with a cozy loveseat and dining set. TWO PEOPLE MAX. If you are traveling with a child, the child counts as one of the two maximum.",https://a0.muscache.com/im/pictures/104244353/e0b48b9b_original.jpg?aki_policy=large,Murray Hill,40.7449576802179,-73.9742009976175,129,875,3300,0,64,93,9,9,9,10,10,10,0.59
5178,https://www.airbnb.com/rooms/5178,Large Furnished Room Near B'way ,"You will use one large, furnished, private room of a two-bedroom apartment and share a bathroom with the host.   The apartment is located a few blocks away from Central Park between 8th and 9th Avenue. The closest subway station is Columbus Circle 59th Street.  Great restaurants, Broadway and all transportation are easily accessible.  The cost of the room is $73 per night.  Weekly rate is available. There is a $12.00 fee per guest.  The apartment also features hardwood floors and a second-floor walk-up.  There is a full-sized bed,TV, microwave, and a small refrigerator as well as other appliances.   Wired internet, WIFI, TV, electric heat, bed sheets and towels are included.  A kitchen is available in the living room. You can come in any time except midnight.   Basic check in/out time is 12pm. I am flexible on the schedule so please ask.  Please note there is a cat in the living room.  The living room is a private place for the host. Also, because the place is close to the street, ther",https://a0.muscache.com/im/pictures/12065/f070997b_original.jpg?aki_policy=large,Hell's Kitchen,40.7648871030142,-73.9849298527731,79,470,,171,371,84,8,7,9,9,10,9,3.45
5203,https://www.airbnb.com/rooms/5203,Cozy Clean Guest Room - Family Apt,"Stay in my family's little  guest room and enjoy privacy, a warm welcome, and security.  Your guest room is comfortable and clean.   It is small but well outfitted, has a single bed and a fabulous mattress which is firm and yet pillowy on top, all at the same time. The bathroom is shared and immediately across the hall. (""Shared"" in the sense it isn't ""en suite."" The family will use our second bath while you are staying with us). The bathroom is fully supplied with shampoo, conditioner, scrub, soap, towels. There is a window air conditioner in summer, ceiling fan, abundant pre-war construction apartment heat.  No smoking. I leave out a simple self serve breakfast: granola, yogurt, fruit.  We may chat with you over coffee, or perhaps you'll hit us on a busy day when we are already out and have left the coffee for you to serve yourself. Coffee or tea are available anytime.  When you respond tell us a little bit about yourself, the purpose of your visit, and persuade us that you'd be a su",https://a0.muscache.com/im/pictures/103776/b371575b_original.jpg?aki_policy=large,Upper West Side,40.8017793033242,-73.9672294587087,79,,,0,118,98,10,10,10,10,10,10,1.14
5238,https://www.airbnb.com/rooms/5238,Cute & Cozy Lower East Side 1 bdrm,"PLEASE NOTE: do not automatically book with out messaging me first. Thanks! My apartment is a cute, cozy, 1 bdrm apt in the Lower East Side (LES) adjacent to Chinatown in lower Manhattan, steps to F train, East Broadway stop and very close to Canal/Delancey streets where many hip bars, restaurants and shops are in the LES. Apt is clean, has a fully equipped kitchen, cable TV, A/C, heat, and wireless internet. Apt is located on 2nd floor of well maintained walk up building. Walking distance to Soho, East Village, Little Italy, Chinatown and very close to Dumbo and Williamsburg, Brooklyn. You have place to yourself-better than a hotel!  Prices listed are for up to two people only. Possible to accommodate a 3rd (for extra charge), but ideal for two.   Nighty rate: $100 - $140 a night for up to two people depending on time of year. $10 extra per person after 2 people.  As of now, I prefer booking for minimum 7 days and more. Might make an exception to fill in time slots, so inquire anyway.",https://a0.muscache.com/im/pictures/55850511/20ccf406_original.jpg?aki_policy=large,Lower East Side,40.7134437871915,-73.99037467751,120,,,181,146,93,9,9,10,10,9,9,1.41
5295,https://www.airbnb.com/rooms/5295,Beautiful 1br on Upper West Side,"Beautiful 1br on the Upper West Side. Apartment is in a great location, close to Columbia University, the beautiful St. Johnâ€™s Cathedral, just a few blocks from Central Park, Riverside Park, and Morning Side Park.  Many amazing restaurants are just a few steps away and it's only 2 small blocks from the 1 train and 3 blocks from the B and C  trains. My charming 1 bedroom apartment is very sunny, with a comfortable full size bed in the bedroom, fold out couch in the living room, TV/DVD, brand new kitchen, brand new bathroom, and Internet. It is on the 6th floor of an elevator building with an evening doorman. Can't wait to hear from you! Deposit required.",https://a0.muscache.com/im/pictures/17395/dfed075a_original.jpg?aki_policy=large,Upper West Side,40.8031581110551,-73.9654464539624,135,,2800,249,37,94,10,9,10,10,9,9,0.34
5435,https://www.airbnb.com/rooms/5435,Upper West Side-Unique One Bedroom,"WELCOME TO THE BIG APPLE! BOOKING FOR THREE OR FOUR WEEKS DURING THE MONTHS OF JULY AND AUGUST ONLY.  PLEASE INQUIRE ONLY IF YOU ARE LOOKING TO BOOK AROUND THESE DATES! Have you dreamed of waking up in Manhattan with all the pleasures of New York City right outside your door?  This sunny and cheerful one bedroom apartment is located on the 15th floor of an Art Deco doorman building overlooking Riverside Park and the Hudson River.  Conveniently located on Riverside Drive and 103rd Street, there is one full sized bed and a pull-out sofa.  Lots of books, art work, and interesting items from many travels make this a very cozy/comfortable and well appointed apartment.  You will be two blocks from the Broadway subway and bus lines and the M5 bus stops in front of the building.  Do you need to get in a quick run before sampling New Yorkâ€™s delicacies?  Just walk across the street to Riverside Park and enjoy the trails.   You are also within walking distance of Columbia University and Central P",https://a0.muscache.com/im/pictures/40487/be7f26b2_original.jpg?aki_policy=large,Upper West Side,40.8015501183729,-73.9700007581852,145,,2300,365,25,91,10,8,10,10,10,9,0.23
5441,https://www.airbnb.com/rooms/5441,Central Manhattan/near Broadway,"The apartment is located on the 5th floor of a walk-up building. There is no elevator. The guest room is small but quiet, with air conditioning and wi-fi. The bathroom is next to the guest bedroom.",https://a0.muscache.com/im/pictures/13549/81a0927c_original.jpg?aki_policy=large,Hell's Kitchen,40.7607598740233,-73.9886665456932,126,,,49,143,97,9,9,10,10,10,10,1.31
5803,https://www.airbnb.com/rooms/5803,"Lovely Room 1, Garden, Best Area, Legal rental","Welcome to an historic, stunning 4-story Brooklyn house,  with one of Brooklyn's most beautiful gardens and large patio.  Park Slope is a very safe, quiet and friendly neighborhood.  140 year old house filled with light, color, artwork.  Three excellent SUBWAY LINES (R, F, G)   3 minutes walk.   I have a  LEGAL rental of  2 bedrooms on top floor with a clean, SHARED  bathroom.   Please write to me, and wait until I reply ""yes!"" Discounts available for longer stays.  This is an historic house with charming details, and it has a few quirks of old houses, like creaky stairs. The main floor is my office; I  work here but you can help yourself to delicious  breakfast foods and enjoy the patio and garden.  Main floor is private later at night.    Upstairs:   2  very quiet, cozy rooms on TOP  floor,  medium size,  with closets. 1 room --  either 2 twins or  King bed, excellent mattress  1 room --  Queen bed excellent mattress SHARED BATHROOM.  Professionally cleaned. Sharing hasn't been an is",https://a0.muscache.com/im/pictures/2884180/f19a12ef_original.jpg?aki_policy=large,Park Slope,40.668290252915,-73.9877909263472,82,,,279,148,93,9,9,10,10,10,9,1.37
5945,https://www.airbnb.com/rooms/5945,Airy Room on the fabulous UWS ,"PLEASE FILL OUT YOUR PROFILE & POST A PHOTO BEFORE YOU CONTACT ME, SO I KNOW WHO I'M DEALING WITH.  IF YOUR PROFILE & PHOTO ARE BLANK, OR IF YOU UPLOAD A PET, BABY PIC OR SOME ARTSY IMAGE INSTEAD OF A CLEARLY RECOGNIZABLE PHOTO OF YOU,  I PROBABLY WON'T RESPOND.  This airy room is my back room carpeted office/bedroom.  I can accommodate up to 2 people in this 12' square room but prefer to only host one person because it can get really snug with 2 people and their luggage.  You have a choice of either a pull-out sofabed or a comfy aerobed on the carpeted floor.  All linens, pillows + towels provided. The back room gets lots of light with windows on two sides (blinds on the windows to keep out the light in the am).  It has a 26"" HD TV with remote control, clock radio, hair dryer,  desk lamp and overhead light/ceiling fan, A/C and a small desk & chair for your laptop (wi-fi throughout the apt). I also have a fax machine in case you need to receive one  (there is a charge to send a fax).  ",https://a0.muscache.com/im/pictures/14032841/796e6485_original.jpg?aki_policy=large,Upper West Side,40.7910461384942,-73.9743445958488,110,750,1600,80,66,92,9,9,10,10,10,9,0.64
6090,https://www.airbnb.com/rooms/6090,West Village Nest,"Excellent West Village Location - Bleecker Street and Perry Street in the heart of the West Village, a historic and chic neighborhood in Manhattan with many 19th century townhouses. Around every corner you will find brownstones, stoops, cobblestone and tree lined streets Plus endless restaurant & shopping choices.    The apartment has many original details and is located in a historic pre-war apartment building on one of the prettiest street corners in lower Manhattan. Details:  * Large windows provide beautiful natural light and views of the charming neighborhood  * Hardwood floors and vintage style tile * Decorative fireplace with mantel * Renovated Kitchen with full refrigerator, stove, microwave and dishwasher  * Spacious open floor plan and high ceilings * Queen size bed - super comfy * Utilities included in monthly rate (water, heat, air condition, electrical, gas AND and wireless internet)  * Fifth floor apartment (walk up) * Full service laundry 2 blocks away * Steps to boutiqu",https://a0.muscache.com/im/pictures/3323212/430d6aa8_original.jpg?aki_policy=large,West Village,40.7353046773952,-74.0052465913457,175,,3600,1,24,96,10,9,9,10,10,9,0.23
6848,https://www.airbnb.com/rooms/6848,Only 2 stops to Manhattan studio,"Our comfortable 500 sq foot (46 sq m) studio apartment with full kitchen and bath is for short term rental. The apartment is private and is in a two family house. The house is located in FABULOUS Williamsburg, Brooklyn within 10 minute travel from Manhattan. The studio is a perfect place to stay for budget minded visitors of New York City! IN THE APARTMENT: Comfortable luxury king size bed, soft flannel bed linens, pillows, comforters, a couch with queen size pullout bed, air conditioning, hangers, iron & ironing board, alarm clock, radio, TV(No Cable/Satellite), DVD/VCR player, wireless internet access for guest's laptops, dining table, room divider/screen IN THE BATHROOM:  Fluffy bath towels, hand towels, bath mat, wash cloths, toilet paper (initial supply), plunger/toilet brush, soaps, shampoo & conditioner, hair dryer. IN THE KITCHEN:  Refrigerator, gas stove, toaster, microwave, French press coffee maker, plates/bowls, glasses (wine, large, small), cups, Kitchen towels,  frying pa",https://a0.muscache.com/im/pictures/e4f031a7-f146-40fd-98fd-b399a940c505.jpg?aki_policy=large,Williamsburg,40.7083719866838,-73.9535186885433,140,,,281,86,90,9,10,10,10,9,9,0.8
6990,https://www.airbnb.com/rooms/6990,UES Beautiful Blue Room / Oak Room,"Home is fun healthy.  A special morning juice made with Lemon, Limes and chia seeds.  The Silver Bowl Breakfast: fruit, granola, chia seeds, cacao nibs and yogurt. Your Nightâ€™s Sleep: Frette sheets, down comforter So just pack your favorite comfy shoes and bring your empty suitcases to fill. One single sleeping bedroom, The room is approximately 65 square feet. The twin bed is built on the legs of a piano from the 1800's. Dresses for your clothes, hairdryer and towels are provided in your room, so you can feel the comforts of being home. The room is sound proof, no street noise, Frette sheets, perfect for recovering from jet-lag.  I feel that if my guests have a good nights sleep, they are full of energy for their adventure, which I end up having happy guests. The Common Space: approximately 500 square feet, features an Eat-in kitchen, living room and bathroom, to share. There is never more than 2 guests here at a time, this way there is enough space for each of us to get lost in, if w",https://a0.muscache.com/im/pictures/be6cd5b3-9295-4b6d-bf9a-a1ca4e2c9ea5.jpg?aki_policy=large,East Harlem,40.7896241337201,-73.9480201638547,95,,,0,225,97,10,10,10,10,10,10,2.21
7097,https://www.airbnb.com/rooms/7097,Perfect for Your Parents + Garden,"Are your parents coming to town? They'll love this space -- high-end Victorian townhouse. Very spacious and clean.  Garden-level space  with two large rooms, a kichenette and bathroom. King-size bed as well as queen-size sofa bed, bathroom with shower but no tub. Private entrance to unit. Huge private garden. Hi-definition 48-inch TV w/ cable. No oven or burner  but you'll get a microwave, refrigerator, sink and cutlery/dishes. You can use main kitchen upstairs if you really want to cook. Unit is not particularly sunny. Also please see Perfect for Parents, Part 2, for top-floor space that is also available for rent, should the whole family be in town. No stairs to negotiate here, though (two steps down into space). No air conditioning but has ceiling fan in living room and desktop fans.",https://a0.muscache.com/im/pictures/107655549/ad63e75a_original.jpg?aki_policy=large,Fort Greene,40.6916854445839,-73.9718454939025,215,,,353,144,96,10,10,10,10,10,10,1.45
7241,https://www.airbnb.com/rooms/7241,"Adorable, tons of light, Meatpacking","Hi.  Studio, extremely cute, pleasant, cheery, lots of natural light, comfortable, homey, and quiet. No sad generic / Ikea furniture or plastic. Well-equipped kitchen. Large bathroom (large for Manhattan, that is) with real bathtub! Bed is harder than average. High speed internet, etc. no TV (if you're coming to NYC to watch TV, something's wrong).  Discount possible if you stay for more than 14 days. It is an extremely cozy, warm little apartment, very nice for watching storms come hit the city, or for watching the snow fall in the park across the street. I am a heterosexual non-interior designer, so unlike most Airbnb ppl, the photos I show of my apartment are worse, not better than my apartment. In other words, the apartment is actually nicer than the photos.    The apartment is perfectly located, close to Meatpacking and Chelsea galleries and High Line, very close to several subway lines. Laundry and lots of food shopping (Chelsea Market plus a regular grocery store) are very close",https://a0.muscache.com/im/pictures/46816/900a9921_original.jpg?aki_policy=large,West Village,40.739083945189,-74.0038505034438,144,,,125,61,92,10,8,10,10,10,9,0.59
7322,https://www.airbnb.com/rooms/7322,Chelsea Perfect,"Hey Doti, You are now our #1 host in NYC...  Brian Chesky  Co-founder  Airbnb --------------------------------------------------------------------------------------- ENJOY NEW YORK CITY IN A TRUE BED AND BREAKFAST STYLE WITH FULL SERVICE AND AMENITIES.  Private Bedroom, with queen memory foam topped bed. The room is Located at the end of a long hall providing extra privacy. Apartment has large separate living room, dining area, NY small:)  but  fully equipped kitchen, furnished with all amenities and linen, cable, WIFI, air conditioning and electric fireplace. Wake to a variety of fresh organic fruits, yogurts, warm from the oven NY bagels, free range eggs, granola, coffees, teas and other treats served for your pleasure and health. Elevator building- what a relief! Walking distance to just about everything in Manhattan! Located in the heart of Chelsea we are in the Art Gallery and Museum district, as well as the Fashion district. Surrounded by Restaurants  and boutiques galore, minute",https://a0.muscache.com/im/pictures/23207/33258e91_original.jpg?aki_policy=large,Chelsea,40.7468731710198,-74.0059519952542,120,,,0,209,96,9,10,10,10,10,9,1.97
7801,https://www.airbnb.com/rooms/7801,Sweet and Spacious Brooklyn Loft,"The apartment is an open-plan 1500 sq. ft. loft (140 sq m) with 5 large windows providing bright sunlight all day, located in an old factory building with many of the original finishes including tin ceilings, wooden beams and columns, and white brick walls. Very few of these original factory loft buildings remain in the neighborhood, and this space is quite special. Located in the very center of Williamsburg: just two blocks from the Bedford L train and two blocks from McCarren park! Stellar restaurants, bars, nightlife, and shopping are all steps away. Manhattan is just a 5-10 minute ride on the L train. The loft has a fully stocked kitchen with fridge, oven, microwave, dishwasher, and everything you might need for cooking: great knives, pots and pans, a wide range of spices, kitchen tools, and a beautiful dining table.  There is a large bathroom, a custom cedar sauna for 5 (built by yours truly), a washer/dryer, and air conditioning.  For your entertainment, enjoy the sound-surround ",https://a0.muscache.com/im/pictures/207102/56d6fc69_original.jpg?aki_policy=large,Williamsburg,40.7184176022494,-73.9571834325944,299,,,87,10,98,9,9,10,9,10,10,0.1
7816,https://www.airbnb.com/rooms/7816,UWS Garden Getaway,"This charming one bedroom has received rave reviews from renters in the first year of being on the rental market. It is not only located half a block from Central Park on a beautiful, tree-canopied street on the Upper West (Website hidden by Airbnb) also has its own private and spaceous backyard garden!  A perfect romantic getaway, this apartment is also great for business trips and vacations to NYC, even in winter. Available for long weekends or weekly rentals only.  This NON-smoking apartment has a 42"" HD flat screen tv with expanded cable, air conditioning, high speed internet access, recessed lighting with dimmers, new furniture, full-equipped kitchen, hardwood floors, queen-size bed in the bedroom, plus a futon foldout (double). Linens are provided as well.  This fully furnished apartment has only been on the rental market a year... and dates have typically gone fast. Make your reservation now... as you have probably have discovered that it is rare to find private outdoor space in",https://a0.muscache.com/im/pictures/25823/7557c7f1_original.jpg?aki_policy=large,Upper West Side,40.7881895952256,-73.9682204963817,225,,,195,14,95,9,9,10,10,10,9,0.14
8024,https://www.airbnb.com/rooms/8024,CBG CtyBGd HelpsHaiti rm#1:1-4,"Welcome to CommunityBeGood,(URL HIDDEN)    30% of guest fees we donate to our partner Haitian - led groups;   informal Brooklyn guest house on Park Place  for people wanting travel stays tied into local neighborhood of Park Slope and to have their fees help  support local to global social projects. We offer  free wireless, cable TV in each room; Located 20  minutes from Manhattan by close subway, and steps from  Brooklyn's Fifth Avenue trendy cafes and shops/ BAM Brooklyn Academy of Music; ten minutes from Brooklyn Museum and Botanic Gardens.",https://a0.muscache.com/im/pictures/50346067/32b0597b_original.jpg?aki_policy=large,Park Slope,40.6806939829794,-73.97705849663,130,900,2400,330,103,93,9,9,9,10,10,9,1.01
8025,https://www.airbnb.com/rooms/8025,CBG Helps Haiti Room#2.5,"Welcome to CommunityBeGood, our informal Brooklyn guesthouse in Park Place  for people wanting travel stays tied into a local neighborhood of Park Slope. 30% of fees help  support local/global Haitian -led  social projects. Sitting room, huge kitchen and cooking available.  Located 20  minutes from Manhattan, and steps from  Brooklyn's Fifth Avenue trendy cafes and shops; BAM brooklyn Academy of Music, Brooklyn Museum et al.  CEREMONY GUESTS:  SLEEPS UP TO 10; Four guest rooms  also possible for special event  rentals on an as available basis;",https://a0.muscache.com/im/pictures/9ca8c987-3aeb-4ac4-b98c-8762cb038bd4.jpg?aki_policy=large,Park Slope,40.6798949255414,-73.9779757990321,110,750,1800,303,26,94,9,9,10,9,10,9,0.29
8110,https://www.airbnb.com/rooms/8110,CBG Helps Haiti Rm #2,"* Owner occupied  brownstone with garden - homeowner (Lisel) is  active  in local/ global partnerships with the organized poor; guest cooking and food storage welcome;  * CTY Donations: 30% of guest fees go to Haitian or local projects.  CBG Partner network and  (SENSITIVE CONTENTS HIDDEN) followup are options.  * Guests are invited into an informal brownstone household, with garden and kitchen cooking access. WEB:(URL HIDDEN)    * Fifth Avenue Cafes, Brooklyn BAM performances, Prospect Park,  and subways to Manhattan close by.  CEREMONY GUESTS: SLEEPS UP TO 10; Four guest rooms also possible for special event rentals on an as available basis;",https://a0.muscache.com/im/pictures/2ded79fd-66b9-4ae9-b8a0-920badf4cfde.jpg?aki_policy=large,Park Slope,40.6800062917883,-73.9786450822199,110,850,2500,307,51,90,9,9,9,9,10,9,0.51
